ItemID,Category,ItemName,Description,Price,Available,Alcoholic,SortOrder,ModifierGroups
TQB001,Quick Bites,Hot Dog,"All beef hot dog, pickle relish, ketchup, mustard",10,TRUE,FALSE,10,"[{""name"":""Condiments"",""type"":""multi"",""required"":false,""options"":[""Mayo O/S"",""Mayo Inside"",""Extra Mayo"",""Light Mayo"",""Ketchup O/S"",""Ketchup Inside"",""Extra Ketchup"",""Mustard O/S"",""Mustard Inside"",""Extra Mustard"",""1000 Island O/S"",""1000 Island Inside"",""Extra 1000 Island"",""Hot Sauce O/S""]}]"
TQB002,Quick Bites,The Smashed Burger,"Two 4 oz short rib blender patties, American cheese, Big Mac sauce, sesame bun",16,TRUE,FALSE,20,"[{""name"":""Cheese"",""type"":""single"",""required"":false,""options"":[""American Cheese"",""Cheddar Cheese"",""Swiss Cheese"",""Provolone Cheese"",""Feta Cheese"",""Blue Cheese"",""Parmesan Cheese"",""Pepper Jack"",""Mozzarella"",""Extra Cheese"",""No Cheese""]},{""name"":""Condiments"",""type"":""multi"",""required"":false,""options"":[""Mayo O/S"",""Mayo Inside"",""Extra Mayo"",""Light Mayo"",""Ketchup O/S"",""Ketchup Inside"",""Extra Ketchup"",""Mustard O/S"",""Mustard Inside"",""Extra Mustard"",""1000 Island O/S"",""1000 Island Inside"",""Extra 1000 Island"",""Hot Sauce O/S""]}]"
TQB003,Quick Bites,Blackened or Grilled Chicken Sandwich,"Bacon, provolone cheese, lettuce, tomato, onion, brioche bun",16,TRUE,FALSE,30,"[{""name"":""Chicken Style"",""type"":""single"",""required"":true,""options"":[""Blackened"",""Grilled""]},{""name"":""Sandwich Options"",""type"":""multi"",""required"":false,""options"":[""No Bacon"",""Extra Bacon"",""No Tomato"",""Add Onion""]},{""name"":""Cheese"",""type"":""single"",""required"":false,""options"":[""American Cheese"",""Cheddar Cheese"",""Swiss Cheese"",""Provolone Cheese"",""Feta Cheese"",""Blue Cheese"",""Parmesan Cheese"",""Pepper Jack"",""Mozzarella"",""Extra Cheese"",""No Cheese""]}]"
TQB004,Quick Bites,Golfer's Delight,"Grilled American cheese, tomato, bacon, choice of bread",12,TRUE,FALSE,40,"[{""name"":""Grilled Cheese Options"",""type"":""multi"",""required"":false,""options"":[""No Bacon"",""No Tomato"",""Add Onion""]},{""name"":""Cheese"",""type"":""single"",""required"":false,""options"":[""American Cheese"",""Cheddar Cheese"",""Swiss Cheese"",""Provolone Cheese"",""Feta Cheese"",""Blue Cheese"",""Parmesan Cheese"",""Pepper Jack"",""Mozzarella"",""Extra Cheese"",""No Cheese""]},{""name"":""Bread"",""type"":""single"",""required"":false,""options"":[""White Not Toast"",""White Toast"",""Wheat Not Toast"",""Wheat Toast"",""Rye Not Toast"",""Rye Toast"",""Wrap"",""Bagel Not Toast"",""Bagel Toasted"",""Multi Not Toast"",""Multi Toast"",""English Muffin Not Toast"",""English Muffin Toast"",""Gluten Free Not Toast"",""Gluten Free Toast"",""Vegan Bun Not Toast"",""Vegan Bun Toast"",""Sourdough Not Toast"",""Sourdough Toast"",""No Bread"",""Lightly Toasted"",""Well Done""]}]"
TQB005,Quick Bites,Breakfast Sandwich,"Two fried eggs, American cheese, choice of bacon and ham or sausage, sesame bun",12,TRUE,FALSE,50,"[{""name"":""Breakfast Meat"",""type"":""single"",""required"":true,""options"":[""Ham"",""Bacon"",""Sausage""]},{""name"":""Egg Style"",""type"":""single"",""required"":false,""options"":[""Fried Eggs"",""Scrambled Eggs""]},{""name"":""Cheese"",""type"":""single"",""required"":false,""options"":[""American Cheese"",""Cheddar Cheese"",""Swiss Cheese"",""Provolone Cheese"",""Feta Cheese"",""Blue Cheese"",""Parmesan Cheese"",""Pepper Jack"",""Mozzarella"",""Extra Cheese"",""No Cheese""]},{""name"":""Bread"",""type"":""single"",""required"":false,""options"":[""White Not Toast"",""White Toast"",""Wheat Not Toast"",""Wheat Toast"",""Rye Not Toast"",""Rye Toast"",""Wrap"",""Bagel Not Toast"",""Bagel Toasted"",""Multi Not Toast"",""Multi Toast"",""English Muffin Not Toast"",""English Muffin Toast"",""Gluten Free Not Toast"",""Gluten Free Toast"",""Vegan Bun Not Toast"",""Vegan Bun Toast"",""Sourdough Not Toast"",""Sourdough Toast"",""No Bread"",""Lightly Toasted"",""Well Done""]}]"
TQB006,Quick Bites,Cup of House-Made Hot Chili / Soup of the Day,,6,TRUE,FALSE,60,[]
TQB007,Quick Bites,Fresh Fruit Cup,,4,TRUE,FALSE,70,[]
TQB008,Quick Bites,Chicken Salad,,8,TRUE,FALSE,80,[]
TQB009,Quick Bites,Tuna Salad,,8,TRUE,FALSE,90,[]
TQB010,Quick Bites,Egg Salad,,8,TRUE,FALSE,100,[]
TSAL001,Salads,Caesar Salad,"Crisp romaine lettuce, parmesan cheese, house-made croutons, Caesar dressing",8,TRUE,FALSE,110,"[{""name"":""Caesar Options"",""type"":""multi"",""required"":false,""options"":[{""name"":""No Romaine""},{""name"":""Chopped""},{""name"":""No Cheese""},{""name"":""Dressing O/S""},{""name"":""No Croutons""},{""name"":""Extra Cheese""},{""name"":""Extra Croutons""},{""name"":""Add Chicken"",""priceDelta"":6},{""name"":""Add Shrimp"",""priceDelta"":10},{""name"":""Blackened""},{""name"":""Grilled""}]}]"
TSAL002,Salads,Caesar Salad with Chicken,"Crisp romaine lettuce, parmesan cheese, house-made croutons, Caesar dressing, chicken",14,TRUE,FALSE,120,"[{""name"":""Caesar Options"",""type"":""multi"",""required"":false,""options"":[{""name"":""No Romaine""},{""name"":""Chopped""},{""name"":""No Cheese""},{""name"":""Dressing O/S""},{""name"":""No Croutons""},{""name"":""Extra Cheese""},{""name"":""Extra Croutons""},{""name"":""Blackened""},{""name"":""Grilled""}]}]"
TSAL003,Salads,Caesar Salad with Shrimp,"Crisp romaine lettuce, parmesan cheese, house-made croutons, Caesar dressing, five shrimp",18,TRUE,FALSE,130,"[{""name"":""Caesar Options"",""type"":""multi"",""required"":false,""options"":[{""name"":""No Romaine""},{""name"":""Chopped""},{""name"":""No Cheese""},{""name"":""Dressing O/S""},{""name"":""No Croutons""},{""name"":""Extra Cheese""},{""name"":""Extra Croutons""},{""name"":""Blackened""},{""name"":""Grilled""}]}]"
TSAL004,Salads,Eastpointe Fresh Garden Salad,"Baby mixed greens, romaine lettuce, julienne onions, tomatoes, cucumber, carrots, honey ranch dressing",8,TRUE,FALSE,140,[]
TSAL005,Salads,Eastpointe Fresh Garden Salad with Chicken,"Baby mixed greens, romaine lettuce, julienne onions, tomatoes, cucumber, carrots, honey ranch dressing, chicken",14,TRUE,FALSE,150,[]
TSAL006,Salads,Eastpointe Fresh Garden Salad with Shrimp,"Baby mixed greens, romaine lettuce, julienne onions, tomatoes, cucumber, carrots, honey ranch dressing, five shrimp",18,TRUE,FALSE,160,[]
TKID001,Kids Menu,Ham & Cheese,,6,TRUE,FALSE,170,[]
TKID002,Kids Menu,Turkey & Cheese,,6,TRUE,FALSE,180,[]
